activity_type,date_posted,year,activity_title,equipmend_used,indoor_outdoor,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_cadence,max_cadence,avg_pace,best_pace,elev_gain,elev_loss
strength_training,26/05/2015,2015,Strength Training,none,indoor,"8,000",334,38:47:00,--,--,0,--,--,02:25,--,--,--
lap_swimming,25/05/2015,2015,Swimming,none,indoor,250,554,45:00:00,--,--,0,--,--,16:28,01:00:00,--,--
cycling,17/05/2015,2015,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,16.17,762,01:10:08,--,--,0,--,--,13.8,27.7,571,542
running,10/05/2015,2015,Mid Berwickshire Ward Running,Nike Running Trainers,outdoor,17.39,"1,937",02:16:17,155,168,0,--,--,07:50,06:05,336,468
cycling,08/05/2015,2015,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,24.22,"1,307",01:20:53,--,--,0,--,--,18,26.7,677,676
running,06/05/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,7.55,815,55:22:00,151,177,0,--,--,07:20,05:32,205,317
cycling,04/05/2015,2015,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,30.28,"1,637",01:47:13,--,--,0,--,--,16.9,30.9,906,915
running,03/05/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,13.18,"1,343",01:42:24,145,178,0,--,--,07:46,05:58,493,491
running,29/04/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.25,665,44:20:00,147,168,0,--,--,07:05,04:41,241,348
running,27/04/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.2,653,43:42:00,149,170,0,--,--,07:03,03:42,174,169
running,26/04/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,15.17,"1,532",01:52:28,149,164,0,--,--,07:25,05:49,552,552
running,25/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,6.11,705,44:47:00,154,179,0,--,--,07:20,05:52,170,183
running,22/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,10.49,"1,134",01:15:44,153,165,0,--,--,07:13,05:21,360,356
running,20/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,6.15,652,43:24:00,154,180,0,--,--,07:04,05:51,214,229
running,18/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,18.01,"1,981",02:19:57,151,167,0,--,--,07:46,01:06,545,529
running,16/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,5.14,571,36:25:00,151,169,0,--,--,07:05,05:20,190,187
running,15/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,6.23,684,43:14:00,154,174,0,--,--,06:56,05:25,230,338
running,13/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,7.36,823,51:54:00,155,167,0,--,--,07:03,01:47,403,399
running,11/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,6.11,716,45:37:00,153,168,0,--,--,07:28,00:27,164,201
running,08/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,7.3,799,53:01:00,149,167,0,--,--,07:16,05:38,283,282
running,06/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,6.14,671,44:42:00,150,166,0,--,--,07:17,05:46,205,205
running,05/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,15.32,"1,718",01:55:24,153,165,0,--,--,07:32,05:28,617,614
running,04/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,5.14,567,35:59:00,152,173,0,--,--,07:00,05:31,157,148
running,03/04/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,8.19,940,59:05:00,153,170,0,--,--,07:13,05:26,398,398
running,30/03/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,5.5,589,39:05:00,148,167,0,--,--,07:07,03:46,166,174
running,29/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,10.32,"1,194",01:14:46,154,167,0,--,--,07:15,05:26,436,419
running,25/03/2015,2015,Berwick-upon-Tweed Carrera,Nike Running Trainers,outdoor,6.15,681,42:36:00,152,177,0,--,--,06:55,05:20,186,186
running,23/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,7.01,777,52:12:00,146,165,0,--,--,07:27,05:37,280,264
running,18/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,7.38,773,55:47:00,143,167,0,--,--,07:33,05:28,293,302
running,16/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.04,427,29:34:00,143,159,0,--,--,07:19,05:02,177,183
running,14/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,13.25,"1,456",01:40:20,152,178,0,--,--,07:34,05:32,543,554
running,11/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.17,669,47:14:00,141,159,0,--,--,07:39,04:19,337,324
running,10/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.02,633,44:44:00,143,161,0,--,--,07:26,05:41,253,251
running,08/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,10.35,"1,164",01:17:43,151,166,0,--,--,07:31,02:54,479,476
running,06/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.1,602,38:33:00,149,167,0,--,--,07:34,05:07,173,188
running,04/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.08,554,37:41:00,145,164,0,--,--,07:25,04:57,135,181
running,02/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.1,538,40:19:00,139,157,0,--,--,07:54,06:22,151,145
running,01/03/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,9.03,"1,046",01:07:17,154,166,0,--,--,07:27,05:35,394,394
running,28/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.49,512,33:32:00,152,168,0,--,--,07:28,02:40,190,208
running,25/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.16,704,44:24:00,156,174,0,--,--,07:13,04:44,197,201
running,23/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.08,579,39:43:00,147,164,0,--,--,07:49,06:04,193,193
running,21/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,8.25,978,59:13:00,159,170,0,--,--,07:10,05:25,425,405
running,20/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.43,481,31:55:00,149,169,0,--,--,07:13,05:30,143,142
running,18/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.45,640,39:56:00,153,173,0,--,--,07:19,04:37,214,270
running,16/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.44,486,32:43:00,146,162,0,--,--,07:22,00:30,185,233
running,14/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.16,693,43:55:00,156,169,0,--,--,07:08,05:19,178,166
running,13/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.5,505,33:18:00,150,168,0,--,--,07:24,04:58,141,144
running,11/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.42,625,42:48:00,145,159,0,--,--,07:53,05:48,169,166
cycling,08/02/2015,2015,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,30.03,"1,571",01:46:53,--,--,0,--,--,16.9,29.1,769,754
running,06/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.24,468,30:49:00,149,168,0,--,--,07:16,04:22,151,245
running,04/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.63,625,42:36:00,149,163,0,--,--,07:34,03:27,171,233
running,02/02/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.48,495,34:14:00,149,166,0,--,--,07:39,05:21,152,153
running,31/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.77,760,49:14:00,159,168,0,--,--,07:17,04:20,322,321
running,30/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.49,479,33:49:00,153,165,0,--,--,07:31,05:10,163,155
running,28/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.65,623,42:18:00,158,170,0,--,--,07:29,05:37,199,249
running,26/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.15,436,30:45:00,155,169,0,--,--,07:25,05:49,220,217
running,26/01/2015,2015,Running,Nike Running Trainers,outdoor,0,8,00:54.2,119,138,0,--,--,--,--,--,--
running,26/01/2015,2015,Running,Nike Running Trainers,outdoor,0,7,00:48.7,116,129,0,--,--,--,--,--,--
running,24/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.1,696,44:18:00,170,179,0,--,--,07:15,04:35,157,164
running,24/01/2015,2015,Running,Nike Running Trainers,outdoor,0,8,00:47.6,129,151,0,--,--,--,--,--,--
running,22/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.1,428,30:32:00,161,176,0,--,--,07:27,00:26,157,167
running,21/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,5.35,460,40:16:00,160,177,0,--,--,07:31,00:30,311,319
running,19/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,4.24,221,31:47:00,159,178,0,--,--,07:30,02:57,175,175
running,19/01/2015,2015,Untitled,Nike Running Trainers,outdoor,0,--,00:01.3,70,70,0,--,--,--,--,--,--
running,18/01/2015,2015,10k Treadmill Run,Nike Running Trainers,outdoor,6.1,335,45:16:00,164,183,0,--,--,07:25,--,--,--
running,18/01/2015,2015,Running,Nike Running Trainers,outdoor,0,--,00:00.8,117,117,0,--,--,--,--,--,--
running,17/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,0.42,753,55:46:00,157,187,0,--,--,--,04:35,18,--
running,17/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,0.42,40,03:10.7,147,161,0,--,--,07:31,06:22,--,17
running,16/01/2015,2015,Untitled,Nike Running Trainers,outdoor,0,1,00:06.0,--,--,0,--,--,31:29:00,08:42,--,--
running,16/01/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,0,--,00:01.1,--,--,0,--,--,--,--,--,--
cycling,03/01/2015,2015,Indoor cycling,Spinner Bike,indoor,0,751,48:54:00,--,--,0,--,--,--,--,--,--
running,01/01/2015,2015,New Year 10k Run,Nike Running Trainers,outdoor,6.07,295,43:29:00,--,--,0,--,--,07:10,05:20,147,147
cycling,30/12/2014,2014,Spinning ,Spinner Bike,indoor,0,481,48:45:00,--,--,0,--,--,--,--,--,--
running,29/12/2014,2014,10k Treadmill Run,Nike Running Trainers,outdoor,6.1,761,45:45:00,--,--,0,--,--,--,--,--,--
running,23/12/2014,2014,Easy 10k,Nike Running Trainers,outdoor,6.4,745,48:24:00,--,--,0,--,--,07:34,--,--,--
cycling,22/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,649,48:20:00,--,--,0,--,--,--,--,--,--
cycling,20/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,765,50:06:00,--,--,0,--,--,--,--,--,--
cycling,18/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,571,40:08:00,--,--,0,--,--,--,--,--,--
cycling,15/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,723,49:32:00,--,--,0,--,--,--,--,--,--
cycling,13/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,830,53:02:00,--,--,0,--,--,--,--,--,--
cycling,11/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,721,50:33:00,--,--,0,--,--,--,--,--,--
cycling,08/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,618,45:20:00,--,--,0,--,--,--,--,--,--
cycling,07/12/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,36.22,"1,820",02:27:27,--,--,0,--,--,14.7,29.9,"1,001",911
cycling,02/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,649,48:25:00,--,--,0,--,--,--,--,--,--
cycling,01/12/2014,2014,Indoor cycling,Spinner Bike,indoor,0,760,48:04:00,--,--,0,--,--,--,--,--,--
cycling,27/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,743,43:46:00,--,--,0,--,--,--,--,--,--
cycling,25/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,808,48:44:00,--,--,0,--,--,--,--,--,--
cycling,10/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,615,47:24:00,--,--,0,--,--,--,--,--,--
cycling,08/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,618,40:59:00,--,--,0,--,--,--,--,--,--
cycling,06/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,693,44:06:00,--,--,0,--,--,--,--,--,--
cycling,03/11/2014,2014,Indoor cycling,Spinner Bike,indoor,0,654,46:07:00,--,--,0,--,--,--,--,--,--
cycling,01/11/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,28.93,"1,578",01:38:08,--,--,0,--,--,17.7,31.2,786,786
cycling,28/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,555,39:27:00,--,--,0,--,--,--,--,--,--
cycling,27/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,616,45:45:00,--,--,0,--,--,--,--,--,--
cycling,25/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,687,47:00:00,--,--,0,--,--,--,--,--,--
cycling,21/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,687,36:32:00,--,--,0,--,--,--,--,--,--
cycling,20/10/2014,2014,Indoor cycling,Spinner Bike,indoor,0,687,39:00:00,--,--,0,--,--,--,--,--,--
cycling,19/10/2014,2014,Berwick-upon-Tweed Cycling,Scott Road Bike,outdoor,56.94,"3,108",03:25:23,--,--,0,--,--,16.6,36.2,"1,312","1,286"
